leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant,
,,,,0.06,0.03,"Taking an art class 
with friends","Walking around Central 
Park with family",,,,,0,1,1,13,,,,,,,,,1,0,0.784640371101,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.03,0.09,"Going to a parade 
with family","Making a friend’s 
favorite dinner",,,,,0,2,2,3,,,,,,,,,2,0,0.700872367481,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.01,0.04,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,3,3,6,,,,,,,,,1,0,1.31796024786,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.07,0.08,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,4,4,1,,,,,,,,,1,0,1.48489692784,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.03,0.08,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",,,,,0,5,5,10,,,,,,,,,1,0,1.21811304963,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.02,0.01,Taking classes with a friend,"Taking a family member
 on a shopping trip",,,,,0,6,6,0,,,,,,,,,1,0,1.10141129536,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.05,0.07,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,7,7,12,,,,,,,,,1,0,0.900895507075,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.09,0.04,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,8,8,9,,,,,,,,,1,0,0.95111830323,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.05,0.08,"Going to the gym 
with friends","Making cookies to 
give to a friend",,,,,0,9,9,8,,,,,,,,,1,0,0.851238137577,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.03,"Going apple-picking 
with family","Planning a surprise 
party for a family member",,,,,0,10,10,4,,,,,,,,,1,0,1.06795814843,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.04,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",,,,,0,11,11,11,,,,,,,,,1,0,1.6350717342,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.01,0.02,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",,,,,0,12,12,2,,,,,,,,,1,0,1.06754823006,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.02,0.07,"Going to a music
festival with friends","Buying flowers for 
a significant other",,,,,0,13,13,5,,,,,,,,,1,0,0.701170631684,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.07,"Talking over the phone
with a friend","Talking over the phone
with a significant other",,,,,0,14,14,7,,,,,,,,,2,0,1.40150711942,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.95079111494,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,7,15.537,"[(None, 0.0), (2, 8.618), (1, 9.62), (2, 10.237), (3, 10.82), (4, 11.787), (5, 12.985), (6, 13.635), (7, 14.069), (7, 15.537)]",3,10.352,6,6.87,2,8.47,5,5.318,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
