leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,15,15,37,,,,,,,,,,,2,1.950721452,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,16,16,39,,,,,,,,,,,1,3.201214026,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,17,17,16,,,,,,,,,,,1,3.101519227,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,18,18,22,,,,,,,,,,,2,2.501129771,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,19,19,29,,,,,,,,,,,1,2.251644894,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,20,20,15,,,,,,,,,,,2,3.134444163,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,21,21,8,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,22,22,36,,,,,,,,,,,1,2.535162552,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,23,23,44,,,,,,,,,,,1,1.734842639,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,24,24,24,,,,,,,,,,,1,2.034505216,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,25,25,11,,,,,,,,,,,2,3.718004151,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,26,26,47,,,,,,,,,,,2,2.067560469,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,27,27,0,,,,,,,,,,,1,3.634712727,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,28,28,35,,,,,,,,,,,2,2.467660865,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,29,29,31,,,,,,,,,,,1,1.917468703,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,30,30,4,,,,,,,,,,,2,2.284274675,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,31,31,40,,,,,,,,,,,1,1.800932617,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,32,32,23,,,,,,,,,,,1,2.034146924,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,33,33,32,,,,,,,,,,,1,2.201071269,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,34,34,6,,,,,,,,,,,1,3.367596578,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,35,35,17,,,,,,,,,,,1,2.967794136,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,36,36,46,,,,,,,,,,,2,1.784413544,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,37,37,18,,,,,,,,,,,2,2.734401616,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,38,38,33,,,,,,,,,,,2,2.301061845,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,39,39,45,,,,,,,,,,,2,2.884788538,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,40,40,43,,,,,,,,,,,1,2.951271642,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,41,41,20,,,,,,,,,,,1,2.867839638,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,42,42,10,,,,,,,,,,,2,1.567429997,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,43,43,19,,,,,,,,,,,2,2.167576237,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,44,44,1,,,,,,,,,,,1,1.466829826,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,45,45,12,,,,,,,,,,,2,3.20113596,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,46,46,9,,,,,,,,,,,1,1.667403156,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,47,47,25,,,,,,,,,,,2,2.817872808,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,48,48,48,,,,,,,,,,,1,2.351567046,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,49,49,28,,,,,,,,,,,1,1.500577715,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.05,"Taking an art class 
with friends","Walking around Central 
Park with family",,,,,0,0,0,13,,,,,,,,,1,0,2.151054365,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.01,"Going to a comedy show 
with a significant other","Watching friends'
Snapchat stories",,,,,0,1,1,23,,,,,,,,,2,0,3.200963657,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.05,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",,,,,0,2,2,2,,,,,,,,,1,0,2.667652592,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.05,0.02,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,3,3,1,,,,,,,,,1,0,2.168145088,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.04,0.01,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",,,,,0,4,4,4,,,,,,,,,1,0,1.884729133,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.01,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,5,5,9,,,,,,,,,1,0,2.017701251,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.03,0.05,"Going to a parade 
with family","Making a friend’s 
favorite dinner",,,,,0,6,6,3,,,,,,,,,2,0,2.667573283,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.04,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",,,,,0,7,7,10,,,,,,,,,1,0,2.934481672,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.03,0.03,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,8,8,12,,,,,,,,,2,0,1.517344669,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.05,0.03,"Going to a street fair
with friends",Having a Tweet go viral,,,,,0,9,9,15,,,,,,,,,2,0,1.75075274,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.04,0.02,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",,,,,0,10,10,11,,,,,,,,,2,0,2.534467739,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.05,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",,,,,0,11,11,19,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.03,"Getting verified on 
Instagram","Playing ping-pong
with friends",,,,,0,12,12,22,,,,,,,,,1,0,1.650933224,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.05,0.01,Posting Instagram stories,"Making cookies to 
give to a friend",,,,,0,13,13,8,,,,,,,,,1,0,1.83490786,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.03,0.02,"Getting ice cream
with friends","Going sight-seeing
with family",,,,,0,14,14,24,,,,,,,,,1,0,1.584766735,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.02,0.02,"Working on a group
project with classmates","Getting likes on an
Instagram picture",,,,,0,15,15,17,,,,,,,,,2,0,2.684617354,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.03,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",,,,,0,16,16,20,,,,,,,,,1,0,2.085015705,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.03,0.04,"Going to a music
festival with friends","Buying flowers for 
a significant other",,,,,0,17,17,5,,,,,,,,,2,0,2.400876385,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.05,0.01,Taking classes with a friend,"Taking a family member
 on a shopping trip",,,,,0,18,18,0,,,,,,,,,1,0,2.717895606,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.04,0.03,"Going to a flea market
with family","Playing volleyball
with friends",,,,,0,19,19,16,,,,,,,,,2,0,1.684090801,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.03,0.01,"Going to a karaoke
bar with friends","Going on a weekend
getaway with family",,,,,0,20,20,18,,,,,,,,,1,0,1.917823885,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.05,0.02,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",,,,,0,21,21,14,,,,,,,,,2,0,2.384261518,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.02,"Learning to drive 
with a family member","Going dancing with
a significant other",,,,,0,22,22,21,,,,,,,,,2,0,2.168164994,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.05,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,23,23,6,,,,,,,,,2,0,2.267543487,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,0.01,0.04,"Talking over the phone
with a friend","Talking over the phone
with a significant other",,,,,0,24,24,7,,,,,,,,,2,0,3.601128745,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.853503908,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,4,20.992,"[(None, 0.0), (4, 20.089), (4, 20.992)]",4,4.568,2,4.302,7,5.535,3,4.867,7,3.201,5,6.119,1,4.052,6,2.885,2018_Feb_16_1523,60.0109187,newer wtp,1,wtp02
