uniqueCode,spacebar.keys,spacebar.rt,resp.keys,resp.rt,exResponses.keys,exResponses.rt,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,example.ran,example.order,LeftEx,RightEx,LMoneyEx,RMoneyEx,Age *,Sex *,date,expName,psychopyVersion,frameRate,responses.keys,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,responses.rt,response1.keys,response1.corr,response1.rt,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,Loop2.ran,Loop2.order,Left1,Right1,leftmoney1,rightmoney1,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider7.response,slider7.rt,slideKeys7.rt,slider8.response,slider8.rt,slideKeys8.rt,slider9.response,slider9.rt,slideKeys9.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,1,1,24,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.905,1,0,25,4,1,24,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,6,1,24,"Playing videogames 
with friends","Taking your friend 
on a cruise",0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,20,1,24,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.436,1,0,25,2,1,24,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,11,1,24,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,19,1,24,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.736,1,0,25,22,1,24,"Getting verified on 
Instagram","Playing ping-pong
with friends",0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.661,1,0,25,0,1,24,Taking classes with a friend,"Taking a family member
 on a shopping trip",0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,8,1,24,Posting Instagram stories,"Making cookies to 
give to a friend",0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.038,4,442.104,2.799,4,444.305,4,445.49,446.087,5,448.05,2.023,5,449.405,1.406,5,452.58,3.306,5,456.592,3.837,5,458.923,14.687,5,460.41,460.688,1,0,1,0,1,0
