uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
,,,,,,,2,0.588000059,1,0,50,35,1,49,"Looking through old 
photo albums","Having a movie marathon 
with a roommate",$0.01 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.963000059,1,0,50,48,1,49,"Going to a party
with roommates","Buying clothes 
for yourself",$0.01 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.666999817,1,0,50,6,1,49,"Getting retweets 
on a picture","Buying coffee on 
the way to work",$0.01 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.871000051,1,0,50,44,1,49,"Gaining Instagram
followers","Getting breakfast
by yourself",$0.01 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.684999943,1,0,50,46,1,49,"Driving to school
by yourself","Going to the movies
with a significant other",$0.02 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.519999981,1,0,50,16,1,49,"Spending a day at the 
beach with a friend","Trying out a new 
recipe at home",$0.04 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.044000149,1,0,50,0,1,49,"Going to the movies 
with a friend","Putting together 
a puzzle",$0.05 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.08100009,1,0,50,23,1,49,"Rearranging furniture 
in your house","Going to a carnival 
with friends",$0.01 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.203999996,1,0,50,42,1,49,"Listening to music
by yourself","Giving a friend a ride
to school",$0.01 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.825999975,1,0,50,39,1,49,"Going on a hike 
by yourself","Babysitting for a 
family member",$0.04 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.648000002,1,0,50,5,1,49,Getting a haircut,"Going on a 
dinner date",$0.03 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.610000134,1,0,50,18,1,49,"Catching up with friends 
from high school",Shopping online,$0.03 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.93200016,1,0,50,41,1,49,"Making breakfast 
for your family","Watching YouTube
videos",$0.01 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.923000097,1,0,50,9,1,49,Running a marathon,"Adding new friends
on facebook",$0.02 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.261999846,1,0,50,28,1,49,"Getting likes on a 
facebook post",Taking a nap,$0.05 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.249000072,1,0,50,37,1,49,Writing journal entries,"Going to a nightclub with 
a group of friends",$0.01 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.309000015,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.088000059,1,0,50,29,1,49,"Learning how to 
perform card tricks","Going camping 
with family",$0.05 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.062999964,1,0,50,3,1,49,Putting gas in a car,"Going to a sporting
event with friends",$0.03 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.571999788,1,0,50,43,1,49,"Going to a farmer's
market by yourself","Getting lunch with 
coworkers",$0.02 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.809000015,1,0,50,36,1,49,"Watching the sunset 
with a significant other",Reading at the library,$0.02 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.115999937,1,0,50,27,1,49,Listening to a podcast,"Getting breakfast with 
a significant other",$0.04 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.812999964,1,0,50,15,1,49,"Going to a museum 
alone","Participating in 
a debate",$0.05 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.677000046,1,0,50,31,1,49,Watching the news,"Going to a family 
member’s baby shower",$0.03 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.525000095,1,0,50,38,1,49,"Playing a tennis match
 with a friend","Cleaning up around 
the house",$0.03 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.177000046,1,0,50,20,1,49,"Getting likes on an 
Instagram picture",Drawing a picture,$0.01 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.147000074,1,0,50,1,1,49,"Going grocery shopping 
alone","Having dinner with 
family",$0.05 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.573000193,1,0,50,2,1,49,"Attending a family member’s 
wedding","Practicing an
 instrument",$0.02 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.825000048,1,0,50,14,1,49,"Taking a road trip 
with family","Planting flowers 
in a garden",$0.05 ,$0.02 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.319000006,1,0,50,33,1,49,Doing your laundry,"Going on a double 
date",$0.02 ,$0.04 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.239000082,1,0,50,45,1,49,Playing with a pet,"Studying abroad 
with friends",$0.01 ,$0.05 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.933000088,1,0,50,40,1,49,"Going to the beach 
alone","Shopping for clothes
with friends",$0.02 ,$0.03 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.628000021,1,0,50,13,1,49,"Going for a bicycle
ride alone","Going on Spring Break 
vacation with friends",$0.05 ,$0.01 ,green,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c5368e89fcbc40001dbf27f,32,Male,2019-11-04_15h00.29.966,newer wtp (1),3.1.2,60,return,3.850000143,4,282.375,4.234999895,4,284.3709998,7,289.9679999,290.325,7,292.1030002,2.075000048,7,293.3670001,1.240999937,7,295.197,295.4559999,1,0,1,0,1,0
