uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,responses.rt,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
,,,,,,,1,1,0,50,47,1,49,"Watching television
with family","Reading news 
articles",$0.04 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.874000072,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,6,1,49,"Getting retweets 
on a picture","Buying coffee on 
the way to work",$0.01 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.924999952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,25,1,49,"Painting your bedroom
a new color","Having a romantic dinner 
with a significant other",$0.02 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.039999962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,13,1,49,"Going for a bicycle
ride alone","Going on Spring Break 
vacation with friends",$0.05 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.156999826,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,45,1,49,Playing with a pet,"Studying abroad 
with friends",$0.01 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.475000143,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,10,1,49,"Going to a concert 
with a friend",Practicing photography,$0.02 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.49000001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,16,1,49,"Spending a day at the 
beach with a friend","Trying out a new 
recipe at home",$0.04 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.356000185,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,15,1,49,"Going to a museum 
alone","Participating in 
a debate",$0.05 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.575000048,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,39,1,49,"Going on a hike 
by yourself","Babysitting for a 
family member",$0.04 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.85800004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,21,1,49,Studying for a test alone,"Playing cards with 
friends",$0.01 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.875,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,1,1,49,"Going grocery shopping 
alone","Having dinner with 
family",$0.05 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.773000002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,29,1,49,"Learning how to 
perform card tricks","Going camping 
with family",$0.05 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.741000175,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,36,1,49,"Watching the sunset 
with a significant other",Reading at the library,$0.02 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.461000204,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,33,1,49,Doing your laundry,"Going on a double 
date",$0.02 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.757999897,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,40,1,49,"Going to the beach 
alone","Shopping for clothes
with friends",$0.02 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.324999809,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,11,1,49,"Going on vacation 
by yourself","Going to a work outing
with colleagues",$0.04 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.607000113,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,37,1,49,Writing journal entries,"Going to a nightclub with 
a group of friends",$0.01 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.294999838,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,48,1,49,"Going to a party
with roommates","Buying clothes 
for yourself",$0.01 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.74000001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,42,1,49,"Listening to music
by yourself","Giving a friend a ride
to school",$0.01 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.05700016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,20,1,49,"Getting likes on an 
Instagram picture",Drawing a picture,$0.01 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.808000088,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,18,1,49,"Catching up with friends 
from high school",Shopping online,$0.03 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.74000001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,41,1,49,"Making breakfast 
for your family","Watching YouTube
videos",$0.01 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.458000183,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.256999969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,34,1,49,"Seeing a play with a 
significant other","Going to the movies 
by yourself",$0.03 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,3.406000137,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,49,1,49,"Gaining Twitter
followers ","Taking an online
class",$0.04 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,3.208000183,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,24,1,49,Joining a study group,"Getting a slice of pizza 
by yourself",$0.03 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.974999905,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,32,1,49,"Meeting new people 
at a party","Watching Netflix at home 
by yourself",$0.03 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.606000185,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,28,1,49,"Getting likes on a 
facebook post",Taking a nap,$0.05 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.407999992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,43,1,49,"Going to a farmer's
market by yourself","Getting lunch with 
coworkers",$0.02 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.35800004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,9,1,49,Running a marathon,"Adding new friends
on facebook",$0.02 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.041000128,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,5,1,49,Getting a haircut,"Going on a 
dinner date",$0.03 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.572000027,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,31,1,49,Watching the news,"Going to a family 
member’s baby shower",$0.03 ,$0.02 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.124000072,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,12,1,49,"Joining a club 
at school","Teaching yourself a 
different language",$0.03 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,2.489000082,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,35,1,49,"Looking through old 
photo albums","Having a movie marathon 
with a roommate",$0.01 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.954999924,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,7,1,49,Reading a book,"Going to a friend’s 
birthday party",$0.01 ,$0.04 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.258000135,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,22,1,49,"Attending a Superbowl 
party",Exercising from home,$0.02 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.588999987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,23,1,49,"Rearranging furniture 
in your house","Going to a carnival 
with friends",$0.01 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.921999931,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1,0,50,8,1,49,Playing a team sport,"Going for a walk 
in the park",$0.05 ,$0.01 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.671999931,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,26,1,49,"Going shopping with
a significant other","Trying to solve a 
Rubik’s cube",$0.05 ,$0.03 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,3.555999994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,0,50,3,1,49,Putting gas in a car,"Going to a sporting
event with friends",$0.03 ,$0.05 ,green,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,1.423000097,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5cf3953af114bf0019781b1f,26,female,2019-11-04_15h09.44.921,newer wtp (1),3.1.2,60,,return,11.30599999,3,278.1009998,8.673999786,6,285.52,3,291.3600001,292.3039999,4,294.671,3.444999933,5,298.3240001,3.514999866,5,301.1489999,302.0639999,1,0,1,0,1,0
